Theta	Phi	Total-adj
131	5	0.79
132	5	-0.37
133	5	0.59
134	5	-0.45
135	5	1.05
136	5	-1.70
137	5	-17.19
138	5	-10.21
139	5	-4.49
140	5	-4.17
141	5	0.60
142	5	1.44
143	5	-1.27
144	5	0.35
145	5	-0.73
146	5	1.66
147	5	4.25
148	5	2.75
149	5	3.93
150	5	-0.87
151	5	2.23
152	5	2.14
153	5	1.65
154	5	0.56
155	5	0.50
156	5	1.53
157	5	3.47
158	5	2.07
159	5	-0.51
160	5	-5.37
161	5	-4.31
162	5	-4.17
163	5	-2.09
164	5	-5.71
165	5	-6.25
166	5	-3.75
167	5	-0.17
168	5	-0.08
169	5	-3.97
170	5	-13.27
171	5	-11.64
172	5	-5.44
173	5	-5.86
174	5	-5.93
175	5	-7.42
176	5	-6.27
177	5	-7.03
178	5	-6.86
179	5	2.65
180	5	2.09
0	6	-1.90
1	6	-2.26
2	6	-2.66
3	6	-1.00
4	6	-3.85
5	6	-5.82
6	6	-9.55
7	6	2.79
8	6	-9.70
9	6	-4.23
10	6	-20.13
11	6	-7.98
12	6	-12.66
13	6	-13.71
14	6	-7.50
15	6	2.18
16	6	-0.99
17	6	1.35
18	6	0.73
19	6	0.18
20	6	-0.64
21	6	-2.84
22	6	-2.76
23	6	-1.18
24	6	-2.02
25	6	-14.40
26	6	-11.49
27	6	-7.55
28	6	-12.84
29	6	-7.07
30	6	-5.49
31	6	-8.84
32	6	-4.85
33	6	-4.03
34	6	-8.16
35	6	-2.23
36	6	-0.16
37	6	3.62
38	6	3.06
39	6	1.00
40	6	2.04
41	6	0.28
42	6	-1.62
43	6	-0.11
44	6	-0.22
45	6	4.18
46	6	-2.07
47	6	-0.40
48	6	-1.88
49	6	0.17
50	6	-0.24
51	6	-0.39
52	6	-1.17
53	6	-0.97
54	6	-2.28
55	6	-0.42
56	6	0.14
57	6	5.76
58	6	-0.62
59	6	0.25
60	6	1.57
61	6	2.39
62	6	1.03
63	6	0.09
64	6	-0.12
65	6	1.47
66	6	2.91
67	6	2.42
68	6	0.36
69	6	-1.48
70	6	-1.74
71	6	-4.62
72	6	0.63
73	6	2.62
74	6	2.76
75	6	2.33
76	6	2.77
77	6	-2.20
78	6	1.71
79	6	0.82
80	6	-0.98
81	6	0.92
82	6	0.08
83	6	2.76
84	6	4.69
85	6	1.55
86	6	-1.47
87	6	-0.96
88	6	-8.46
89	6	-13.76
90	6	-19.74
91	6	-19.84
92	6	-21.69
93	6	-15.30
94	6	-8.26
95	6	-12.16
96	6	-16.42
97	6	-23.72
98	6	-12.91
99	6	-9.07
100	6	-11.25
101	6	-7.08
102	6	-8.11
103	6	-9.25
104	6	2.22
105	6	0.81
106	6	-0.19
107	6	-0.30
108	6	1.79
109	6	5.39
110	6	2.10
111	6	1.15
112	6	-5.36
113	6	-0.66
114	6	-2.64
115	6	2.10
116	6	-1.29
117	6	0.50
118	6	0.77
119	6	3.20
120	6	4.34
121	6	1.30
122	6	-3.86
123	6	-3.42
124	6	-3.19
125	6	0.53
126	6	-1.26
127	6	-3.26
128	6	3.98
129	6	1.91
130	6	-0.65
131	6	-0.35
132	6	2.03
133	6	1.61
134	6	-2.48
135	6	0.11
136	6	-8.08
137	6	-7.32
138	6	-7.72
139	6	-6.89
140	6	-7.79
141	6	-2.68
142	6	-0.34
143	6	0.35
144	6	0.03
145	6	0.90
146	6	-3.15
147	6	0.33
148	6	0.90
149	6	0.21
150	6	2.18
